English,Urdu
Food is good but catering not well,کھانا اچھا ہے لیکن کیٹرنگ ٹھیک نہیں ہے۔
Good sajji,اچھا سجی۔
No good food no good atmosphere and very poor service,اچھا کھانا نہیں، اچھا ماحول نہیں اور انتہائی ناقص سروس
WHAT is binge drinking,بینج پینا کیا ہے؟
I have to give my exam,مجھے اپنا امتحان دینا ہے۔
"”

“I have found already",’’میں نے پہلے ہی ڈھونڈ لیا ہے۔
Mutton peshawari karahi is must have,مٹن پشاوری کراہی ضرور ہونی چاہیے۔
and even your pets,اور یہاں تک کہ آپ کے پالتو جانور بھی
French is their mother tongue,فرانسیسی ان کی مادری زبان ہیں۔
Good place for hangouts,hangouts کے لیے اچھی جگہ
Nice to have family dinners,فیملی ڈنر کر کے اچھا لگا
Good for food and relaxing,کھانے اور آرام کرنے کے لیے اچھا ہے۔
Uniquely tasteful food,منفرد ذائقہ دار کھانا
"Mashaalah so delicious dishes
With excellent service",ماشاءاللہ بہت لذیذ پکوان بہترین سروس کے ساتھ
home made dessert is must,گھر کی میٹھی ضروری ہے
Fresh and good taste,تازہ اور اچھا ذائقہ
Worst management in KTown period,KTown میں بدترین انتظام، مدت
This is a good place to get desi food with air conditioning,ایئر کنڈیشنگ کے ساتھ دیسی کھانا حاصل کرنے کے لیے یہ ایک اچھی جگہ ہے۔
Dellisus teasty food in town,شہر میں ڈیلیسس ذائقہ دار کھانا
Best place for indian food especially dosa and thali,ہندوستانی کھانے خصوصاً ڈوسا اور تھالی کے لیے بہترین جگہ
Foods are good but I think expensive,کھانے اچھے ہیں لیکن میرے خیال میں مہنگے ہیں۔
Tastless indian food but burgers were good,بے ذائقہ ہندوستانی کھانا لیکن برگر اچھے تھے۔
Why did he run away,وہ بھاگا کیوں؟
Cheese loader best tha,پنیر لوڈر بہترین تھا
Maybe were gonna work,شاید ہم کام کریں۔
I wont bore you with the details,میں تمہیں دیادہ تفصیل بتا کے بور نہیں کرو گی۔
Grill Prawns was too delicious,گرل جھینگے بہت لذیذ تھے۔
They need to work hard on taste and quality and also service,انہیں ذائقہ اور معیار اور خدمت پر بھی سخت محنت کرنے کی ضرورت ہے۔
good food but setting area is not so  good,اچھا کھانا لیکن سیٹنگ ایریا اتنا اچھا نہیں ہے۔
delicious koyla karahi and qeema taste,مزیدار کوئلہ کراہی اور قیمے کا ذائقہ
“Whenever I want to go out” says 16yearold Iliana,16 سالہ الیانا کہتی ہیں، ’’میں جب بھی باہر جانا چاہتی ہوں۔
Nihari was excellent Bar BQ tikka was also awesome,نہاری بہترین تھی۔ بار بی کیو ٹِکا بھی لاجواب تھا۔
What’s wrong with binge drinking,بینگ پینے میں کیا حرج ہے۔
Good place for lunch of office staff,دفتری عملے کے لنچ کے لیے اچھی جگہ
In Starting Awesome Flavour and Quantity,زبردست ذائقہ اور مقدار شروع کرنے میں
I think not Your Highness,مجھے نہیں لگتا، عالیہ
Went twice for sehrilate night dinner,سحری دیر رات کے کھانے کے لیے دو بار گیا۔
Vvip satup for food,کھانے کے لیے وی وی آئی پی سیٹ اپ
Go for the Shahi Chatak Boti nothing else matters,شاہی چتک بوٹی کے لیے جائیں، کسی اور چیز سے فرق نہیں پڑتا۔
Good place neet and clean environment,اچھی جگہ اور صاف ستھرا ماحول
Nice place to have Pakistani BBQ,پاکستانی BBQ رکھنے کے لیے اچھی جگہ
Excellent quality food Each and every dish was well prepared,بہترین معیار کا کھانا۔ ہر ڈش اچھی طرح تیار کی گئی تھی۔
I was tired so I went to bed,میں تھکا ہوا تھا اسی لئے میں سونے چلا گیا۔
Amazing and awesome,حیرت انگیز اور زبردست
No proper sitting area for family Over all taste is good,فیملی کے لیے بیٹھنے کی کوئی مناسب جگہ نہیں ہے ہر چیز کا ذائقہ اچھا ہے۔
Worst place for eating All dishes are smelly,کھانے کے لیے بدترین جگہ تمام پکوان بدبودار ہیں
First and a very bad experience from here,یہاں سے پہلا اور بہت برا تجربہ
Its great of you that you stopped for me,آپ کی نوازش ہے کہ آپ میرے لیے رکے۔
Bring us two orders of soup,ہمیں دو پلیٹ شو ر بے کی دیجئے
Nice sea food restaurant I have ever seenwonderful taste,اچھا سی فوڈ ریستوراں جو میں نے کبھی دیکھا ہے شاندار ذائقہ
He and only he knows the whole truth,وہ اور صرف وہ ہی پوری سچائی جانتا ہے۔
Place was nice neat  clean Food is average not so good,جگہ اچھی، صاف ستھری تھی، کھانا اوسطاً اتنا اچھا نہیں ہے۔
Good food good service nice place to be with Ur family,اچھا کھانا اچھی سروس اُر فیملی کے ساتھ رہنے کے لیے اچھی جگہ
This is good place for dinein with family or functions,یہ فیملی یا فنکشنز کے ساتھ کھانے کے لیے اچھی جگہ ہے۔
Good freshly made food,اچھا تازہ بنایا ہوا کھانا
Test Foods  Awesome Peoples,ٹیسٹ فوڈز اور زبردست لوگ
Specialist in Mutton chops and I enjoyed here with my Family,مٹن چپس کے ماہر اور میں نے اپنی فیملی کے ساتھ یہاں لطف اٹھایا۔
Delicious and clean food,مزیدار اور صاف ستھرا کھانا
Quality of taste amazing I highly recommended,ذائقہ کا معیار حیرت انگیز ہے جس کی میں نے سفارش کی ہے۔
Testy and healthy food,ٹیسٹ اور صحت بخش کھانا
Alif Lam Ra Those are the signs of the Manifest Book,ا، ل، ر یہ اُس کتاب کی آیات ہیں جو اپنا مدعا صاف صاف بیان کرتی ہے
Must try delicious food,مزیدار کھانے ضرور آزمائیں
Thats probably just a coincidence,شاید وہ صرف توارد ہے۔
Dont get up,اٹھو نہیں
It was great experience with Tandoor,تندور کے ساتھ یہ بہت اچھا تجربہ تھا۔
Food is not good,کھانا اچھا نہیں ہے۔
” This joke elicited a fresh burst of applause,اس لطیفے نے تالیوں کی ایک تازہ لہر کو جنم دیا۔
My youngest brother at binoria restaurant,بنوریا ریستوراں میں میرا سب سے چھوٹا بھائی
Not satisfied with food spice there is no normal spice flavor,کھانے کے مسالے سے مطمئن نہیں، مصالحے کا کوئی عام ذائقہ نہیں ہے۔
“Waiter” said Danglars “pen ink and paper,ویٹر، ڈینگلر نے کہا، قلم، سیاہی اور کاغذ
Tasteless overpriced food with lack of ventilation,وینٹیلیشن کی کمی کے ساتھ بے ذائقہ زیادہ قیمت والا کھانا
O Being punctual,0 وقت کا پابند ہونا۔
He cant speak English can he,اود انگلش نہیں بول سکتا ، ہے نا
I would like to say that,میں یہ کہنا چا ہوں گا کہ۔۔۔
Food is amazing,کھانا حیرت انگیز ہے۔
Nothing beats the bbq from Zamir Ansari,ضمیر انصاری کی طرف سے بی بی کیو کو کچھ نہیں مارتا
Good grilled peri wings,اچھی گرلڈ پیری ونگز
Is it late,کیا دیر ہوگئی ہے۔
Having good taste and pocket friendly as well,اچھا ذائقہ اور جیب دوست بھی
And now what,اور اب کیا؟
Lash push tasty khanaa,لذیذ کھنہ لش دھکا
Fine but slow,ٹھیک لیکن سست
Speak out,بولو۔
You had far better stay here,بہتر ہے کہ تم یہی رک جائو۔
The house is vacant,یہ گھر خالی ہے۔
"Food is nice
But the place is dirty Its not clean",کھانا اچھا ہے۔ لیکن جگہ گندی ہے۔ یہ صاف نہیں ہے۔
Good economical place Tasty food,اچھی اقتصادی جگہ۔ مزیدار کھانا
"greet food
great service",کھانے کی عظیم خدمت کو سلام
Nice breakfast place with family offering dine in,فیملی کے ساتھ ناشتے کی عمدہ جگہ جس میں کھانے کی پیشکش ہے۔
The makhni handi was too good there and the services were on par,وہاں مکھنی ہانڈی بھی اچھی تھی اور خدمات بھی برابر کی تھیں۔
Good for small dinners,چھوٹے کھانے کے لیے اچھا ہے۔
Lo quality food,لو معیاری کھانا
Anna is twelve years old,آنا بارہ سال کی ہیں۔
Not as good as we have thought,اتنا اچھا نہیں جتنا ہم نے سوچا ہے۔
yesterday we made plan of grand dawat here,کل ہم نے یہاں عظیم الشان دعوت کا منصوبہ بنایا
Light a fire in the sitttingroom,بیٹھنے کے کمرے میں آگ جلائیں۔
The Bible warns that if you overdrink,بائبل خبردار کرتی ہے کہ اگر آپ زیادہ پیتے ہیں۔
Best Chicken chow main ever,اب تک کا بہترین چکن چاؤ مین
One of the best and most delicious food Ive eat after long time,ایک بہترین اور لذیذ کھانا جو میں نے طویل عرصے کے بعد کھایا ہے۔
Now they have a better family hall very nive,اب ان کے پاس ایک بہتر فیملی ہال بہت اچھا ہے۔
Delicious food and prices are very low,لذیذ کھانے اور قیمتیں بہت کم ہیں۔
Why did you stop only the foreigners,آپ نے صرف غیرملکیوں کو کیوں روکا؟
Great place for both lunch and dinner,لنچ اور ڈنر دونوں کے لیے بہترین جگہ
Best Nihari in karachi,کراچی میں بہترین نہاری۔
Love it awsome n delicious food,اسے بہت اچھا اور مزیدار کھانا پسند ہے۔
“Sometimes I’ll talk to him for a while and then he’ll say ‘,"کبھی کبھی میں تھوڑی دیر اس سے بات کروں گا اور پھر وہ کہے گا،x000D
میں معافی چاہتا ہوں، کیا آپ مجھ سے بات کر رہے تھے؟x000D
 سوال اگر لیہ کو واقعی کسی مسئلے پر بات کرنے کی ضرورت ہو تو کیا ہوگا؟x000D
اس کے پاس کم از کم تین اختیارات ہیں۔x000D
اگر آپ کو کسی مسئلے کے بارے میں اپنے والدین والدین کے ساتھ بیٹھ کر بات کرنا مشکل لگتا ہے۔x000D
جب آپ ایک ساتھ چل رہے ہوں، گاڑی چلا رہے ہوں یا خریداری کر رہے ہوں تو اس معاملے پر بات کریں۔x000D
آپ کے والدین بات کرنا چاہتے ہیں، لیکن آپ ایسا نہیں کریں گے۔x000D
اسکول میں سخت دن کے فوراً بعد سوالات کا نشانہ بننے سے بدتر کوئی چیز نہیں ہے۔"
And he looked round about to see her that had done this thing,اُس نے چاروں طرف نِگاہ کی تاکہ جِس نے یہ کام کِیا تھا اُسے دیکھے ۔
That was great,یہ بہت اچھا تھا۔
Environment and food service is outstanding,ماحولیات اور کھانے کی خدمت شاندار ہے۔
Awesome katakat avail here people u must visit,یہاں لوگوں کو آپ کو ضرور جانا چاہیے۔
Nice Taste of Karachi,کراچی کا خوبصورت ذائقہ
Amazing taste 1010,حیرت انگیز ذائقہ 1010
I remember having seen him somewhere before,مجھے یاد ہے کہ میں نے اسے کہیں پہلے دیکھا ہوا ہے۔
Excellent taste perfect ambiance,بہترین ذائقہ، کامل ماحول
"Delicious dishes
Specially karahi",مزیدار پکوان خاص طور پر کراہی۔
Reading is a great enjoyment to him,کتابیں پڑھ کے اسے بہت خوشی ملتی ہے۔
The test never can beat anyone,امتحان کبھی کسی کو ہرا نہیں سکتا
and you’ll likely develop a persistent cough,اور آپ کو مستقل کھانسی ہونے کا امکان ہے۔
Great taste Do try barbque platter,بہت اچھا ذائقہ باربکیو پلیٹر آزمائیں۔
Don’t beat up,مار پیٹ نہ کرو۔
Taste was great,ذائقہ بہت اچھا تھا۔
Good and testy food,اچھا اور ٹیسٹ کھانا
super,سپر
If not now when,اب نہیں تو، کب؟
Beef koyla karahi was awesome,بیف کوئلہ کراہی لاجواب تھا۔
Best mutton karhie,بہترین مٹن کڑھی۔
Not a good experience,اچھا تجربہ نہیں ہے۔
3rd Floor open to sky is the place for family dine in,تیسری منزل آسمان پر کھلی فیملی کے کھانے کی جگہ ہے۔
Pakistan,پاکستان
This apple tastes very sour,اس سیب کا ذائقہ بہت کڑوا ہے۔
Quality of food and serving has gone down,کھانے اور سرونگ کا معیار گر گیا ہے۔
Best hy,بہترین ہائے
Very bed service rude behavior,بہت بستر کی خدمت، بدتمیز سلوک۔
I will help you  the doctor replied,میں تمہاری مدد کروں گا، ڈاکٹر نے جواب دیا۔
Nice food at affordable price for family and friends gatherings,خاندان اور دوستوں کے اجتماعات کے لیے مناسب قیمت پر اچھا کھانا
Nice view and excellent food,عمدہ نظارہ اور بہترین کھانا
Vvip food specialy Magaz Katakat  bhari kabab,وی وی آئی پی فوڈ سپیشل ماگز کاتاکت، بھری کباب
Edison invented the phonograph,ایڈیسن نے فونوگراف ایجاد کی۔
What would you like to have,میرے لیے ایک پیپسی لے آئیں۔
Sadly the food quality was very disappointing,افسوس کی بات ہے کہ کھانے کا معیار بہت مایوس کن تھا۔
Love,محبت
Enough is enough,منہ سنبھال کر بات کرو۔
Youre a good boy,تم ایک اچھے بچے ہو۔
Poor health is the only consequence of binge drinking,خرابی صحت دو بھرے پینے کا واحد نتیجہ ہے۔
Best mutton karahi in t0wn,t0wn میں بہترین مٹن کراہی۔
great place n tasteservice little slow,عمدہ جگہ اور ذائقہ  خدمت تھوڑی سست
Rates are high but good area for this much variety of foods,قیمتیں زیادہ ہیں لیکن کھانے کی اس زیادہ اقسام کے لیے اچھا علاقہ ہے۔
Best Service Delicious Food Specialist for Grill Burger,بہترین سروس، مزیدار کھانا، گرل برگر کے لیے ماہر
With school friends,اسکول کے دوستوں کے ساتھ
You have made him angry,آپ نے اسے ناراض کردیا۔
Food quality is good however management is poor,کھانے کا معیار اچھا ہے تاہم انتظام ناقص ہے۔
One of the best BBQ joints in Karachi,کراچی کے بہترین BBQ جوائنٹس میں سے ایک
Hes not going to ride a bike,وہ موٹر سائیکل پر سوار نہیں ہو گا۔
Its good for me,یہ میرے لیے اچھا ہے۔
Excellent for Indian food lovers,ہندوستانی کھانے سے محبت کرنے والوں کے لیے بہترین
This fruit has a bad taste,اس پھل کا ذائقہ خراب ہے۔
Are you falling for Tom,کیا تمہیں ٹام سے پیار ہو رہا ہے؟
Food was good but no sign of good hygiene,کھانا اچھا تھا لیکن اچھی حفظان صحت کی کوئی علامت نہیں تھی۔
For the Son of man is come to save that which was lost,کیونکہ ابنِ آدم کھوئے ہووَں کو ڈھونڈنے اور نجات دینے آیا ہے
How is it,کیسا ہے؟
Are you pupil,کیا آپ شاگرد ہیں؟
they do it well,وہ یہ اچھی طرح کرتے ہیں
Very Tasty Great Service Grilled Fish Specialist,بہت سوادج، زبردست سروس، گرلڈ فش سپیشلسٹ
MUST TRY THEIR CHICKEN CREAM,ان کی چکن کریم ضرور آزمائیں۔
Explain your goals clearly in this regard,اس سلسلے میں اپنے مقاصد کو واضح طور پر بیان کریں۔
Great ambience and food,بہترین ماحول اور کھانا۔
Can you please do my hair,کیا آپ میرے بال بنائیں؟
You need to do your homework,آپ کو اپنا ہوم ورک کرنے کی ضرورت ہے۔
Live fish available along with desi murga duck and batair,دیسی مرگا، بطخ اور بطیر کے ساتھ زندہ مچھلی دستیاب ہے۔
Foods available in Comportable price  for middle class peoples,متوسط ​​طبقے کے لوگوں کے لیے مناسب قیمت پر کھانے کی اشیاء دستیاب ہیں۔
The weather became warm,موسم تھوڑا گرم ہو گیا۔
Loved this place perfect taste in a budget price,بجٹ کی قیمت میں اس جگہ کا بہترین ذائقہ پسند آیا
Our teacher told us when to start,ہماری استانی نے ہمیں بتایا کہ کب شروع کرنا ہے۔
Old styled but still the quality seems maintained,پرانا انداز ہے لیکن پھر بھی معیار برقرار ہے۔
nerd to improve service and menue,سروس اور مینیو کو بہتر بنانے کے لیے بیوقوف
Fish karahi was good with resonable price,مچھلی کراہی مناسب قیمت کے ساتھ اچھی تھی۔
Average food good for crowd less than 200,اوسط کھانا، 200 سے کم ہجوم کے لیے اچھا۔
What would you like to eat and drink,آپ کیا کھا نا اور پینا پسند کریں گے؟
I owe you a great deal,میں آپ کا بہت مقروض ہوں۔
What has rpolice just said,پولیس نے ابھی کیا کہا ہے؟
Come quickly the child is drowning,جلدی آو؛بچہ ڈوب رہا ہے
Im the one to blame,الزام مجھے دیا جائے۔
Good place for lunch and dinner,لنچ اور ڈنر کے لیے اچھی جگہ۔
You havent really thought this through have you,تم نے اصل میں اس کے بارے میں اتنا نہیں سوچا ہے، ہےنا؟
And charged them that they should not make him known,اور اُن کو تاکید کی کہ مُجھے ظاہر نہ کرنا ۔
Fantastic fish specially grilled,لاجواب مچھلی خاص طور پر گرل کی گئی۔
Good old Zameer Ansari Always a good option for quality BBQ,اچھے پرانے ضمیر انصاری معیاری BBQ کے لیے ہمیشہ ایک اچھا آپشن
Amazing taste fried fish,حیرت انگیز ذائقہ تلی ہوئی مچھلی
I dont know about this,میں اس بارے میں نہیں جانتا
“She will soon get over these things,وہ جلد ہی ان چیزوں پر قابو پا لے گی۔
Steam Broast is too Good,بھاپ براسٹ بہت اچھا ہے۔
It was such a dull party,یہ ایک ایسی مدھم پارٹی تھی۔
I believe I see double,مجھے یقین ہے کہ میں ڈبل دیکھ رہا ہوں۔
and remember Thee abundantly,اور خوب تیرا چرچا کریں
Nice and fresh food,اچھا اور تازہ کھانا
He wants to explain something,وہ کچھ سمجھانا چاہتا ہے۔
Sauces spices and meet combination with ambience so fine,چٹنی مصالحے اور ماحول کے ساتھ مجموعہ بہت ٹھیک ہے
Are you ever going to get married again,کیا آپ شادی کبھی کریں گے؟
You havent got much to do have you,آپ کے پاس کرنے کو بہت کچھ نہیں ہے، ہے نا؟
Annette came to appreciate that fact,اینیٹ نے اس حقیقت کی تعریف کی۔
The food is delicious Good for school  college stags,کھانا مزیدار ہے اسکول  کالج کے اسٹیج کے لئے اچھا ہے۔
Good place to have Nihari and Bar B Q,نہاری اور بار بی کیو کے لیے اچھی جگہ
Beautiful Place for Traditional Food Lovers,روایتی کھانے سے محبت کرنے والوں کے لیے خوبصورت جگہ
Have become expensive than my last visit,میرے آخری دورے سے مہنگے ہو گئے ہیں۔
Average food price ambiance Good for people on a budget,اوسط خوراک، قیمت، ماحول۔ بجٹ میں لوگوں کے لیے اچھا ہے۔
Good place to eat with good quantity  quality,اچھی مقدار اور کوالٹی کے ساتھ کھانے کے لیے اچھی جگہ۔
I undertook it because it was what my captain had bade me do,میں نے یہ کام لیا کیونکہ میرے کپتان نے مجھے ایسا کرنے کے لیے کہا تھا۔
Food quality sitting place dealing and service very well,کھانے کا معیار، بیٹھنے کی جگہ، ڈیلنگ اور سروس بہت اچھی ہے۔
Where is the flask,فلاسک کہاں ہے؟
try expressing your feelings in a note,ایک نوٹ میں اپنے جذبات کا اظہار کرنے کی کوشش کریں۔
I have no other option,میرے پاس اور کوئی چارا نہیں۔
Vgood food especially the Malai boti kebabs and paratha,Vاچھا کھانا خاص طور پر ملائی بوٹیکباب اور پراٹھا۔
too far away,بہت دور ہے
"Barbeque
was good",باربیکیو اچھا تھا۔
Ambiance was good,ماحول اچھا تھا۔
"Good meal at afforable price
Average of 150 per person bill",مناسب قیمت پر اچھا کھانا اوسطاً 150 فی شخص بل۔
Need to improve,بہتر کرنے کی ضرورت ہے۔
Very bad,بہت برا
Ambiance was good food 1010 Love their masala dosa,ماحول اچھا تھا کھانا 1010 ان کے مسالہ ڈوسا سے پیار کریں
You ride a bicycle,آپ سائیکل چلاتے ہیں۔
Finest dinning with the best experience,بہترین تجربے کے ساتھ بہترین کھانا
you’re not alone Many youths abuse alcoholx0002,تم اکیلے نہیں ہو بہت سے نوجوان شراب کا غلط استعمال کرتے ہیں۔
Excellent atmosphere due to open roof Decent food,کھلی چھت کی وجہ سے بہترین ماحول۔ مہذب کھانا۔
Very expensive while quality of food and service is not good,بہت مہنگا جبکہ کھانے اور سروس کا معیار اچھا نہیں ہے۔
From last visit in 2018 to now 2022 drastic change in taste,2018 میں آخری دورے سے لے کر اب 2022 تک، ذائقہ میں زبردست تبدیلی
Never ever want to visit again and also will not recoment,کبھی بھی دوبارہ دورہ نہیں کرنا چاہتے اور دوبارہ بھی نہیں جائیں گے۔
It is not far to the police station,پولیس اسٹیشن زیادہ دور نہیں ہے۔
Nature is the best physician,قدرت بہترین طبیب ہے۔
What difference does it make,اس سے کیا  فرق پڑتا ہے؟
I left early,میں جلدی چلا گیا۔
They said turning towards them What is it that ye miss,1271وہ ان کی طرف متوجہ ہو کر کہنے لگے تمہاری کیا چیز کھوئی گئی ہے
Quick service beef Afghani boti is the best,فوری سروس، بیف افغانی بوٹی بہترین ہے۔
Awsum n tasty dinner,Awsum اور مزیدار رات کا کھانا
Okay,ٹھیک ہے،
Best Restaurant of SITE Area also Economical,سائٹ ایریا کا بہترین ریستوراں بھی اقتصادی
Food is delicious,کھانا مزیدار ہے۔
Its a new eatry near five star roundabout,یہ فائیو اسٹار راؤنڈ اباؤٹ کے قریب ایک نئی کھانے کی جگہ ہے۔
Nice place to visit,دیکھنے کے لیے اچھی جگہ ہے۔
Very nice place for dinner,رات کے کھانے کے لیے بہت اچھی جگہ
Best Restaurant  Friendly atmosphere,بہترین ریستوراں، دوستانہ ماحول
Researcher Lloyd Johnston found that teens who smoke are “,محقق لائیڈ جانسٹن نے پایا کہ سگریٹ نوشی کرنے والے نوعمر افراد
and that My chastisement is the painful chastisement,مگر اِس کے ساتھ میرا عذاب بھی نہایت دردناک عذاب ہے
Dantès saluted Villefort and retired,ڈینٹس نے ویلفورٹ کو سلام کیا اور ریٹائر ہو گئے۔
Awesome taste of all types of karahii,کراہی کی تمام اقسام کا لاجواب ذائقہ
Dont be formal,تکلف کی کوئی بات نہیں۔
“What was I saying I forget,میں کیا کہہ رہا تھا؟ میں بھول گیا
Delicious bbq,مزیدار bbq
He want to catch the bus,وہ بس پکڑنا چاہتا ہے۔
We were very hungry and headed to Malik but it was CLOSED,ہم بہت بھوکے تھے اور ملک کی طرف چلے گئے لیکن وہ بند تھا
Too much oil in nihari,نہاری میں بہت زیادہ تیل
Oh of course he cant help his hair admitted Rose,اوہ یقینا وہ اپنے بالوں کی مدد نہیں کر سکتا، روز نے اعتراف کیا۔
who lives in Ireland,جو آئرلینڈ میں رہتا ہے۔
So shall we glorify Thee,تاکہ ہم خوب تیری پاکی بیان کریں
Best tea,بہترین چائے
Dont bother me,میر اسم نہ کھاؤ
Sitting arrangements need to improve but food is very delicious,بیٹھنے کے انتظامات کو بہتر کرنے کی ضرورت ہے لیکن کھانا بہت لذیذ ہوتا ہے۔
Waste of your money will never recommend,آپ کے پیسے کا ضیاع کبھی بھی سفارش نہیں کرے گا۔
very nice service but late,بہت اچھی سروس لیکن دیر سے
Food for cockroaches,کاکروچ کے لیے خوراک
Where does it hurt,کہاں تکلیف ہوتی ہے؟
Best place for BBQ,BBQ کے لیے بہترین جگہ
Already another time We favoured thee,ہم نے پھر ایک مرتبہ تجھ پر احسان کیا
Go ahead and ask Tom,ٹام سے پوچھ لو۔
They want some paper,وہ کچھ کاغذ چاہتے ہیں۔
I met a wonderful Christian man and married him,میں نے ایک شاندار عیسائی آدمی سے ملاقات کی اور اس سے شادی کی۔
That’s what he said,اس نے بھی یہی کہا ۔
Calm and peaceful environment to enjoy food,کھانے سے لطف اندوز ہونے کے لیے پرسکون اور پرامن ماحول
When will you leave,تم کب روانہ ہوگے؟
Atmosphere Was Good But Food Was Ok N Service Not Up To Mark,ماحول اچھا تھا لیکن کھانا ٹھیک تھا اور سروس مارک تک نہیں تھی۔
Best dhaba food at a reasonable price,بہترین ڈھابہ کھانا مناسب قیمت پر
Consider two examples,دو مثالوں پر غور کریں۔
The police were unable to hold back the crowd,پولیس ہجوم کو روکنے میں ناکام رہی
Very tasty food with a good environment and service,اچھے ماحول اور خدمت کے ساتھ بہت لذیذ کھانا
The match was won by us,میچ ہم نے جیتا تھا۔
Lovly place good choice of food,خوبصورت جگہ کھانے کا اچھا انتخاب
Im going to carry him there now,میں اب اسے وہاں لے جا رہا ہوں
Oh Allah protect us from evil deeds,اے اللہ ہمیں برے اعمال سے بچا۔
I hate him I confess it openly,مجھے اس سے نفرت ہے میں اس کا کھلے دل سے اعتراف کرتا ہوں۔
They should improve hygiene,انہیں حفظان صحت کو بہتر بنانا چاہئے۔
Yes its so cool and good,ہاں یہ بہت ٹھنڈا اور اچھا ہے۔
"”

“The hypocrite” murmured Danglars",’’منافق‘‘ بڑبڑایا ڈانگلار
Average food,اوسط خوراک۔
Now my life is more meaningx0002ful,اب میری زندگی زیادہ معنی خیز ہے۔
Houses have roofs,گھروں کی چھتیں ہوتی ہیں۔
Qataqat is good,قطاقت اچھی ہے۔
Delicious food and good Environment,مزیدار کھانا اور اچھا ماحول
Unforgettable taste of koyla mutton karahi,کوئلہ مٹن کراہی کا ناقابل فراموش ذائقہ۔
How much time it will take,کتنا وقت لگے گا؟
I can’t go as I am busy,میں نہیں جا  سکتا کیونکہ میں مصروف ہوں۔
Chicken tikka and other items are really good,چکن ٹِکا اور دیگر اشیا واقعی اچھی ہیں۔
Did you see where I put my watch,آپ نے دیکھا ہے میں نے اپنی گھڑی کہاں رکھی؟
Tasty and economical food,سوادج اور اقتصادی کھانا
My job consists of creating problems,میرا کام مسلے بانانے پر مشتمل ہے۔
Mandi and soup is good,منڈی اور سوپ اچھا ہے۔
Food was ok but services was slow,کھانا ٹھیک تھا لیکن خدمات سست تھیں۔
He has your book,اس کے پاس آپ کی کتاب ہے۔
Good view,اچھا نظارہ
We ate up all the biscuits yesterday,ہم نے کل سارے بسکٹ کھا لیے۔
Where is Ali,علی کہاں ہے؟
Excellent lachay dar parathas Rs,بہترین لچھے ڈار پراٹھے روپے
He did not stir nor was there any break in his breathing,نہ اس نے ہلچل مچائی اور نہ ہی اس کی سانسوں میں کوئی خلل پڑا۔
It is twenty to nine,نو بجنے میں بیس منٹ ہیں۔
Please see me after recess,بڑائ مہربانی وقفے کے بعد مجھ سے ملیں۔
Food chain,کھانے کی سیریز
Tried tikka and Afghani namkeen boti,ٹکا اور افغانی نمکین بوٹی کی کوشش کی۔
The river overflowed because of the heavy rain,تیز بارشوں کی وجہ سے دریا سے پانی ابل کے باہر آ گیا۔
Have an early breakfast,جلدی ناشتہ کر لیں۔
Ordered chicken and mutton karhai,چکن اور مٹن کرہائی کا آرڈر دیا۔
"Highly recommend
Food awesome
Peaceful place",بهت زیاده مانا هوا کھانا لاجواب۔ پرامن جگہ۔
Poor service but best nihari,ناقص سروس لیکن بہترین نہاری
very delicious food and beautiful place,بہت لذیذ کھانا اور خوبصورت جگہ
Youve already decided not to go havent you,تم نے تو فیصلہ نہیں کر لیا نہ جانے کا؟
Good sea Food,اچھا سمندری کھانا
surely it is on a way yet remaining,اور وہ علاقہ جہاں یہ واقعہ پیش آیا تھا گزرگاہ عام پر واقع ہے
Awsome place,شاندار جگہ
Worst place waste of money in mu suggestion not go there,MU تجویز میں پیسے کی بربادی کی بدترین جگہ وہاں نہ جانا
Tasty food rates high service poor ✋,لذیذ کھانے کی قیمتیں زیادہ سروس ناقص ✋
Everyone loves this important inspiring restaurant,ہر کوئی اس اہم متاثر کن ریستوراں سے محبت کرتا ہے۔
Then he followed a way,پھر اُس نے ایک دُوسری مہم کی تیاری کی
Good  food good service neat and clean environment,اچھا کھانا اچھی سروس صاف ستھرا ماحول۔
Will you please sign the register,مہر با نی کر کے رجسٹر پر دستخط کر دیجئے
Good place to go with family and enjoy,فیملی کے ساتھ جانے اور لطف اندوز ہونے کے لیے اچھی جگہ
Recently visited Malik and really liked the nihari with hot naan,حال ہی میں ملک کا دورہ کیا اور واقعی گرم نان کے ساتھ نہاری کو پسند کیا۔
I want to go but I dont have money,میں جانا چاہتا ہوں، لیکن میرے پاس پیسے نہیں ہیں۔
Roof top restaurant with scrumptious barbeque food,شاندار باربی کیو فوڈ کے ساتھ روف ٹاپ ریستوراں
Excellent in all forms,تمام شکلوں میں بہترین
Please wait till he comes back,برائے مہربانی ان کی واپسی تک انتظار فرمائیے۔
Their Chatakh boti is a must try,ان کی چتاخ بوٹی کو ضرور آزمانا چاہیے۔
Your visits are few or far between,آپ تو عید کا چاند ہو گئے ہیں۔
Average Kabab house,اوسط کباب گھر
Nice mutton karahi,اچھا مٹن کراہی۔
Rest in peace,اللہ جنت میں جگہ دے۔
Cheet bill extra bill please check every one,چیٹ بل اضافی بل براہ کرم ہر ایک کو چیک کریں۔
She overindulges her children,وہ اپنے بچوں کے کچھ زیادہ ہی لاڈ دیکھتی
They are taking shower,وہ تیار ہے ہیں۔
